"drag-cofficient-rfile"
"Iteration" "drag-cofficient"
("Iteration" "drag-cofficient")
1 0.06896272105572829
2 0.094199446445468
3 0.09941476517176681
4 0.1043954026220023
5 0.1099894802492402
6 0.1143862817935619
7 0.1180876064589657
8 0.1212107032453457
9 0.1239369644216714
10 0.1263059918589598
11 0.128354656905798
12 0.1301747041892365
13 0.1317845228732182
14 0.1332712431729404
15 0.1345754522104339
16 0.1356694361950358
17 0.1365437683216275
18 0.1370968870111872
19 0.1372415903036332
20 0.1369259205430925
21 0.1361417162970588
22 0.1349700597457483
23 0.133432084217204
24 0.1316620843646035
25 0.1297393172963787
26 0.1278673622033164
27 0.1262075476579761
28 0.124901197495548
29 0.1240095228224877
30 0.1236457271513247
31 0.1235170358673677
32 0.1234992793208461
33 0.1235776929524194
34 0.1237144279749922
35 0.1238751619422172
36 0.1240321635758522
37 0.1241705465069359
38 0.1242820825623133
39 0.1243639673675182
40 0.1244189298287826
41 0.1244557941196966
42 0.1244787288339222
43 0.1244966647778133
44 0.1245119159184227
45 0.1245295690426865
46 0.1245501974292244
47 0.124572210888852
48 0.1245978476352736
49 0.1246264177892265
50 0.1246561900906942
51 0.1246857332222416
52 0.12471432976207
53 0.1247410673586842
54 0.1247653967688119
55 0.1247867007546952
56 0.1248044962105219
57 0.1248189164708812
58 0.1248305124463657
59 0.1248401509743393
60 0.1248481497986859
61 0.1248548864743998
62 0.1248604215987658
63 0.1248647745137326
64 0.1248673239358662
65 0.1248685255198239
66 0.1248681642998556
67 0.1248666630294812
68 0.1248640967597077
69 0.1248608533813323
70 0.1248569213720915
71 0.1248527675434681
72 0.1248478919972408
73 0.1248428355627467
74 0.1248369584951763
75 0.1248310486283622
76 0.1248245198406608
77 0.1248182352691016
78 0.1248114064702639
79 0.1248049448714057
80 0.1247979376415224
81 0.124791372329574
82 0.1247843401191922
83 0.1247779180259215
84 0.1247711314121515
85 0.1247651380486337
86 0.1247589441095166
87 0.12475363149595
88 0.1247480915163332
89 0.1247435324022364
90 0.1247387354128536
91 0.1247348897865438
92 0.1247307601880036
93 0.1247275222039016
94 0.1247239387294472
95 0.1247211787570476
96 0.1247180555075823
97 0.1247157150055468
98 0.1247129056003776
99 0.1247107883603304
100 0.124708188582041
101 0.1247062461914063
102 0.1247037881577837
103 0.1247019426164021
104 0.124699562609534
105 0.1246977755393069
106 0.1246954588538818
107 0.1246937341592837
108 0.1246915041288663
109 0.1246898766360746
110 0.1246877663132355
111 0.1246862607754094
112 0.1246842951174583
113 0.1246829338429562
114 0.1246811192980081
115 0.1246798856701019
116 0.1246781944320916
117 0.1246770693020899
118 0.1246754913029967
119 0.1246744740108054
120 0.1246730195020141
121 0.1246721241646638
122 0.1246708127462625
123 0.1246700651322533
124 0.124668895434222
125 0.1246682538232738
126 0.12466717386976
