"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.3801569998197013
2 0.5192744485306411
3 0.5480238930093633
4 0.5754796569537863
5 0.606317009873935
6 0.6305543783870085
7 0.650957930605047
8 0.6681740016399664
9 0.6832025163744621
10 0.6962617801225143
11 0.7075550461932096
12 0.7175880568431643
13 0.7264621823386136
14 0.7346577279908322
15 0.7418471803100152
16 0.747877767025133
17 0.7526975228729696
18 0.7557465896491677
19 0.756544266548776
20 0.7548041369937956
21 0.750481211087535
22 0.7440224543484359
23 0.7355443642473353
24 0.7257872400598753
25 0.7151879865962861
26 0.7048688341457802
27 0.6957191064645915
28 0.6885178511942067
29 0.6836024945589618
30 0.6815970709216758
31 0.6808876602188626
32 0.6807897772561624
33 0.6812220324002104
34 0.6819757842121431
35 0.6828618302064705
36 0.6837273017118836
37 0.6844901376194825
38 0.6851049801247502
39 0.6855563701134426
40 0.6858593506811622
41 0.6860625650848257
42 0.6861889926969946
43 0.686287864587694
44 0.6863719365003034
45 0.6864692493478075
46 0.6865829633285981
47 0.6867043125247949
48 0.6868456350894442
49 0.6870031280631093
50 0.68716724787495
51 0.6873301043876051
52 0.6874877428134095
53 0.6876351338147448
54 0.6877692496880741
55 0.6878866879102559
56 0.6879847853605003
57 0.6880642770457309
58 0.6881281998605892
59 0.6881813322460439
60 0.6882254257652541
61 0.6882625616901272
62 0.6882930740631946
63 0.6883170695069494
64 0.6883311231964606
65 0.6883377469280274
66 0.6883357557029522
67 0.6883274799500135
68 0.6883133333878871
69 0.6882954542645925
70 0.6882737790636525
71 0.688250881083366
72 0.6882240046347883
73 0.6881961310396394
74 0.6881637337046576
75 0.6881311555638452
76 0.6880951656216412
77 0.688060521920921
78 0.6880228781673283
79 0.6879872586036223
80 0.6879486312488907
81 0.6879124399667751
82 0.6878736749070454
83 0.6878382731178905
84 0.6878008619094834
85 0.6877678234930916
86 0.6877336794037087
87 0.6877043936214224
88 0.6876738544837852
89 0.6876487223673268
90 0.687622278963354
91 0.6876010799483212
92 0.6875783155363684
93 0.6875604661490061
94 0.6875407122460758
95 0.687525497898223
96 0.6875082809855456
97 0.687495378968075
98 0.6874798921220797
99 0.6874682208363195
100 0.6874538895584995
101 0.6874431821301256
102 0.6874296322197812
103 0.6874194586729149
104 0.6874063388850544
105 0.6873964876604278
106 0.6873837169320216
107 0.6873742095530495
108 0.6873619165103737
109 0.6873529449563595
110 0.6873413118017091
111 0.6873330125244426
112 0.6873221768349873
113 0.6873146728092946
114 0.6873046701302679
115 0.6872978697564351
116 0.6872885468069031
117 0.687282344527769
118 0.6872736458077675
119 0.6872680379845628
120 0.6872600200048512
121 0.6872550844577078
122 0.6872478552637706
123 0.6872437340415447
124 0.6872372860811471
125 0.6872337492007951
126 0.6872277959570501
