"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
1 -0.2716810667380158
2 -0.5063518440073671
3 -0.6431076523749581
4 -0.6817175781753992
5 -0.6155103425193826
6 -0.5373257194342682
7 -0.453881032687407
8 -0.3769742958511193
9 -0.2965807712735216
10 -0.2263016328402436
11 -0.1729956271368116
12 -0.1451718427868478
13 -0.1525011599370689
14 -0.1676865075718847
15 -0.20600940130978
16 -0.2682328167322012
17 -0.3490992702148095
18 -0.4297126415729373
19 -0.4991692255394593
20 -0.5389418773858772
21 -0.5160661735297012
22 -0.4139259919161145
23 -0.2441452202896048
24 -0.02129422557906757
25 0.2194082982130112
26 0.436578007879513
27 0.6023674473670404
28 0.6903779763810469
29 0.7000922912745722
30 0.6417813727578903
31 0.5538234091037193
32 0.4459325534002101
33 0.3324404614371623
34 0.2244971735815522
35 0.1330485042768998
36 0.0602166622419702
37 0.004130919791833776
38 -0.03316005586698978
39 -0.05346268746630756
40 -0.05929808035529227
41 -0.05325693087062611
42 -0.03946898415876099
43 -0.02198787489550114
44 -0.00436108350296216
45 0.01077643073245227
46 0.02184266597129891
47 0.02853486073912137
48 0.03069780575796521
49 0.02920965303135503
50 0.02500148971397564
51 0.01906021052033324
52 0.01219828748105733
53 0.004979808944950648
54 -0.002166590271361457
55 -0.008936599225584985
56 -0.01503773213628179
57 -0.02006664750612508
58 -0.0237025612286601
59 -0.02588085082038027
60 -0.02665901661543124
61 -0.02632561787636689
62 -0.02529897362142286
63 -0.02383380534114643
64 -0.02229274212272614
65 -0.0207736845499813
66 -0.01935034182632123
67 -0.01803706944165384
68 -0.01685986603449763
69 -0.01584876922888689
70 -0.01517762853574212
71 -0.01498982966301909
72 -0.01536054307905665
73 -0.01633259846456703
74 -0.01787594732007847
75 -0.01992776957328957
76 -0.0224103011470671
77 -0.02525029568362847
78 -0.02837653275925511
79 -0.0317241518556699
80 -0.03525085104052827
81 -0.03891059096328853
82 -0.04263685722586175
83 -0.04634873245005267
84 -0.04994545431789277
85 -0.05331998972796015
86 -0.05637448766101372
87 -0.05901198326525225
88 -0.06116273318500909
89 -0.06278057964460437
90 -0.06384990433089044
91 -0.06438322964119969
92 -0.06442079020407832
93 -0.06402498769534581
94 -0.06327464920762971
95 -0.06225861164893942
96 -0.06110433400010074
97 -0.05986727642500966
98 -0.05862043020475483
99 -0.0574430182205905
100 -0.05639721571355238
101 -0.05553182050034877
102 -0.05487320116723282
103 -0.05443582140447667
104 -0.05421994661198859
105 -0.05421718626419469
106 -0.05440906336629858
107 -0.05477148705279511
108 -0.05527627001024271
109 -0.05589127736323896
110 -0.05658249747114752
111 -0.05732110230622922
112 -0.05807866030778364
113 -0.05882904337626194
114 -0.05954981544610938
115 -0.06022535382255967
116 -0.06084491401242786
117 -0.06140372477110034
118 -0.06190053703181242
119 -0.06234032290301883
120 -0.06272845587809783
121 -0.0630716119485264
122 -0.06338424267731213
123 -0.06367170492304197
124 -0.0639354173453377
125 -0.06417788765263666
126 -0.06440116274245256
